,school,sex,age,address,fam_size,p_status,m_edu,f_edu,reason,guardian,travel_time,study_time,failures,school_sup,fam_sup,paid,activities,higher,internet,romantic,fam_rel,free_time,go_out,dalc,walc,health,absences,objecting,grade
0,GP,F,18,U,GT3,A,4,4,course,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,4,0,7.33
1,GP,F,17,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,2,1,10.33
2,GP,F,15,U,LE3,T,1,1,other,mother,1,2,0,yes,no,no,no,yes,yes,no,4,3,2,2,3,3,6,2,12.33
3,GP,F,15,U,GT3,T,4,2,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,1,1,5,0,3,14.0
4,GP,F,16,U,GT3,T,3,3,home,father,1,2,0,no,yes,no,no,yes,no,no,4,3,2,1,2,5,0,4,12.33
5,GP,M,16,U,LE3,T,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,1,2,5,6,5,12.33
6,GP,M,16,U,LE3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0,6,12.67
7,GP,F,17,U,GT3,A,4,4,home,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,2,7,12.0
8,GP,M,15,U,LE3,A,3,2,home,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,2,1,1,1,0,8,16.0
9,GP,M,15,U,GT3,T,3,4,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,1,1,5,0,9,12.33
10,GP,F,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,3,3,3,1,2,2,2,10,14.0
11,GP,F,15,U,GT3,T,2,1,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,0,11,11.67
12,GP,M,15,U,LE3,T,4,4,course,father,1,1,0,no,yes,no,yes,yes,yes,no,4,3,3,1,3,5,0,12,12.33
13,GP,M,15,U,GT3,T,4,3,course,mother,2,2,0,no,yes,no,no,yes,yes,no,5,4,3,1,2,3,0,13,12.33
14,GP,M,15,U,GT3,A,2,2,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,14,14.33
15,GP,F,16,U,GT3,T,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,6,15,17.0
16,GP,F,16,U,GT3,T,4,4,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,3,2,3,1,2,2,10,16,13.33
17,GP,F,16,U,GT3,T,3,3,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,2,17,13.67
18,GP,M,17,U,GT3,T,3,2,course,mother,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,18,7.67
19,GP,M,16,U,LE3,T,4,3,home,father,1,1,0,no,no,no,yes,yes,yes,no,3,1,3,1,3,5,6,19,12.0
20,GP,M,15,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0,20,13.0
21,GP,M,15,U,GT3,T,4,4,other,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0,21,11.67
22,GP,M,16,U,LE3,T,4,2,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,0,22,13.0
23,GP,M,16,U,LE3,T,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,2,23,10.0
24,GP,F,15,R,GT3,T,2,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,24,10.33
25,GP,F,16,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,6,25,11.0
26,GP,M,15,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,2,2,1,2,5,8,26,11.67
27,GP,M,15,U,GT3,T,4,2,other,mother,1,1,0,no,no,no,no,yes,yes,no,2,2,4,2,4,1,0,27,11.0
28,GP,M,16,U,LE3,A,3,4,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,28,12.33
29,GP,M,16,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,29,11.67
30,GP,M,15,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,30,10.67
31,GP,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,2,31,15.0
32,GP,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,32,14.0
33,GP,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0,33,12.33
34,GP,M,16,U,GT3,T,3,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,4,34,12.0
35,GP,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,4,35,11.0
36,GP,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,0,36,14.0
37,GP,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,4,37,13.0
38,GP,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,38,11.67
39,GP,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,no,yes,yes,no,no,4,3,1,1,1,2,8,39,13.0
40,GP,F,16,U,LE3,T,2,2,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,16,40,10.67
41,GP,M,15,U,LE3,T,4,4,home,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,41,10.67
42,GP,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,42,14.67
43,GP,M,15,U,GT3,T,2,2,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,43,9.67
44,GP,F,16,U,LE3,T,2,2,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,44,10.67
45,GP,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,45,10.67
46,GP,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,6,46,12.67
47,GP,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,2,47,17.0
48,GP,M,15,U,GT3,T,4,2,home,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,3,2,2,5,4,48,12.0
49,GP,F,15,U,GT3,T,4,4,other,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,49,12.33
50,GP,F,16,U,LE3,T,2,2,course,mother,3,2,0,no,yes,no,no,yes,yes,no,4,3,3,2,3,4,0,50,13.33
51,GP,F,15,U,LE3,T,4,2,other,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,3,1,1,5,0,51,15.33
52,GP,M,15,U,LE3,A,4,2,other,father,2,1,0,no,no,no,no,yes,no,no,5,5,5,3,4,5,4,52,9.33
53,GP,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,3,3,4,2,3,5,0,53,12.33
54,GP,F,15,U,LE3,A,3,3,other,mother,1,1,0,no,no,no,no,yes,yes,no,5,3,4,4,4,1,0,54,12.67
55,GP,F,16,U,GT3,A,2,1,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,3,4,1,1,2,2,55,12.33
56,GP,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,1,1,1,0,56,14.67
57,GP,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,8,57,15.33
58,GP,M,15,U,LE3,T,1,2,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,58,13.67
59,GP,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,3,1,1,5,2,59,15.67
60,GP,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,0,60,16.33
61,GP,F,16,U,GT3,T,1,1,course,father,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,0,61,12.0
62,GP,F,16,U,LE3,T,1,2,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,0,62,12.0
63,GP,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,no,yes,yes,yes,no,3,4,4,2,4,4,0,63,13.33
64,GP,F,15,U,LE3,T,4,3,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,64,12.33
65,GP,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,65,15.67
66,GP,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,0,66,11.67
67,GP,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,4,3,3,1,2,5,0,67,9.67
68,GP,F,15,R,LE3,T,2,2,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,no,4,1,3,1,3,4,0,68,10.67
69,GP,F,15,R,LE3,T,3,1,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,6,69,15.0
70,GP,M,16,U,GT3,T,3,1,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,70,11.67
71,GP,M,15,U,GT3,T,4,2,course,mother,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0,71,10.0
72,GP,F,15,R,GT3,T,1,1,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2,72,11.67
73,GP,M,16,U,GT3,T,3,1,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,0,73,13.33
74,GP,F,16,U,GT3,T,3,3,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,3,2,4,5,4,74,11.0
75,GP,M,15,U,GT3,T,4,3,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,2,3,5,0,75,11.0
76,GP,M,15,U,GT3,T,4,0,course,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,0,76,11.33
77,GP,F,16,U,GT3,T,2,2,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,5,2,3,1,3,3,1,77,13.0
78,GP,M,17,U,GT3,T,2,1,home,mother,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,0,78,9.33
79,GP,F,16,U,GT3,T,3,4,course,mother,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,14,79,11.33
80,GP,M,15,U,GT3,T,2,3,course,father,1,1,0,yes,yes,no,yes,yes,yes,yes,3,2,2,1,3,3,0,80,11.33
81,GP,M,15,U,GT3,T,2,3,home,mother,1,3,0,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,2,81,9.33
82,GP,F,15,U,LE3,T,3,2,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,4,4,4,1,1,5,4,82,11.33
83,GP,M,15,U,LE3,T,2,2,home,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,2,83,12.67
84,GP,F,15,U,GT3,T,1,1,home,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2,84,12.33
85,GP,F,15,U,GT3,T,4,4,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,2,3,5,4,85,11.67
86,GP,F,16,U,LE3,T,2,2,course,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,6,86,11.67
87,GP,F,15,U,GT3,T,4,2,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4,87,15.0
88,GP,M,16,U,GT3,T,2,2,reputation,father,2,2,0,no,no,no,yes,yes,yes,no,4,4,2,1,1,3,6,88,11.0
89,GP,M,16,U,LE3,A,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,6,89,9.33
90,GP,F,16,U,GT3,T,3,3,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,4,3,3,1,3,4,2,90,10.33
91,GP,F,15,U,GT3,T,4,3,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,4,5,5,1,3,1,6,91,13.33
92,GP,F,16,U,LE3,T,3,1,home,father,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,0,92,12.33
93,GP,F,16,U,GT3,T,4,2,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,1,2,93,13.67
94,GP,M,15,U,LE3,T,2,2,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,2,94,11.67
95,GP,F,15,R,GT3,T,1,1,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,95,13.0
96,GP,M,16,R,GT3,T,4,3,reputation,mother,2,1,0,yes,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6,96,10.33
97,GP,F,16,U,GT3,T,2,1,course,mother,1,2,0,no,yes,no,no,yes,no,yes,4,3,5,1,1,5,0,97,12.33
98,GP,F,16,U,GT3,T,4,4,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,4,98,12.67
99,GP,F,16,U,GT3,T,4,3,course,mother,1,3,0,yes,yes,no,no,yes,yes,no,5,3,5,1,1,3,2,99,12.67
100,GP,M,16,U,GT3,T,4,4,other,mother,1,1,0,yes,yes,no,yes,yes,yes,no,4,5,5,5,5,4,12,100,8.67
101,GP,M,16,U,GT3,T,4,4,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,101,16.0
102,GP,M,15,U,GT3,T,4,4,course,mother,1,1,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,102,12.33
103,GP,F,15,U,GT3,T,3,2,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,4,3,5,1,1,2,16,103,10.33
104,GP,M,15,U,GT3,A,3,4,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,1,1,0,104,16.0
105,GP,F,15,U,GT3,A,3,3,reputation,father,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10,105,10.0
106,GP,F,15,U,GT3,T,2,2,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,5,1,2,1,1,3,4,106,10.0
107,GP,M,16,U,GT3,T,3,3,home,father,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,107,13.67
108,GP,M,15,R,GT3,T,4,4,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,1,3,5,3,5,1,8,108,11.0
109,GP,F,16,U,LE3,T,4,4,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,5,1,1,4,2,109,14.67
110,GP,M,15,U,LE3,A,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,4,110,13.67
111,GP,F,16,R,GT3,T,3,3,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,4,111,11.0
112,GP,F,16,U,GT3,T,2,2,home,mother,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,12,112,9.33
113,GP,M,15,U,LE3,T,4,2,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10,113,17.67
114,GP,M,15,R,GT3,T,2,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,4,114,9.67
115,GP,M,16,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,6,115,14.67
116,GP,M,15,U,GT3,T,4,4,reputation,father,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,4,116,15.67
117,GP,M,16,U,GT3,T,3,3,home,father,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,6,117,14.33
118,GP,M,17,R,GT3,T,1,3,course,father,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,14,118,11.33
119,GP,M,15,U,GT3,T,3,4,reputation,father,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,2,119,13.67
120,GP,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,120,14.0
121,GP,M,15,U,GT3,T,2,2,home,father,1,4,0,no,yes,no,yes,yes,yes,no,5,5,4,1,2,5,6,121,13.33
122,GP,F,16,U,LE3,T,2,4,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,4,2,2,1,2,5,2,122,13.0
123,GP,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,4,123,12.67
124,GP,F,16,U,GT3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,yes,5,4,4,1,1,5,0,124,11.33
125,GP,M,15,U,GT3,T,3,4,home,father,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,2,125,9.0
126,GP,F,15,U,LE3,A,3,4,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,126,10.67
127,GP,F,19,U,GT3,T,0,1,course,other,1,2,2,no,yes,no,no,no,no,no,3,4,2,1,1,5,0,127,10.0
128,GP,M,16,R,GT3,T,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,no,3,5,5,2,5,4,8,128,14.33
129,GP,M,16,U,GT3,T,2,3,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,3,2,3,2,2,1,4,129,12.67
130,GP,F,15,R,GT3,T,3,4,course,father,2,3,0,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,130,11.0
131,GP,F,18,U,GT3,T,2,1,reputation,mother,1,2,3,no,yes,no,yes,no,yes,yes,5,4,5,1,3,5,10,131,9.0
132,GP,F,17,U,LE3,A,2,1,course,mother,3,1,0,no,yes,no,no,yes,yes,no,3,2,2,1,2,5,8,132,10.67
133,GP,F,15,U,GT3,T,1,1,course,mother,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,6,133,12.0
134,GP,F,17,U,LE3,T,2,2,course,father,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,2,134,12.33
135,GP,F,16,U,GT3,A,3,4,course,father,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,12,135,14.0
136,GP,M,16,U,GT3,T,2,1,course,mother,4,1,0,no,no,no,no,yes,no,no,3,2,1,1,1,2,4,136,9.67
137,GP,F,16,U,GT3,A,2,2,home,mother,1,1,1,no,no,no,no,yes,no,no,5,3,4,1,1,5,12,137,11.67
138,GP,M,15,R,GT3,T,3,4,course,mother,4,2,0,no,yes,no,no,yes,no,yes,5,3,3,1,1,5,2,138,11.33
139,GP,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,4,139,14.0
140,GP,M,17,R,GT3,T,3,4,course,mother,3,2,0,no,no,no,no,yes,no,no,5,4,5,2,4,5,2,140,9.67
141,GP,F,16,R,GT3,T,1,1,course,mother,4,2,0,no,yes,no,no,yes,no,no,5,1,3,1,1,3,0,141,13.33
142,GP,M,18,U,LE3,T,3,1,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,3,3,4,4,5,4,2,142,11.33
143,GP,F,18,U,GT3,A,3,2,course,other,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,5,1,5,10,143,11.33
144,GP,F,16,R,GT3,T,1,1,reputation,mother,2,1,0,no,yes,no,yes,yes,no,yes,3,3,3,1,2,1,8,144,11.33
145,GP,F,16,U,GT3,A,3,3,course,other,2,1,0,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,4,145,9.33
146,GP,M,16,U,LE3,T,1,1,course,mother,1,2,2,no,no,no,no,yes,no,yes,4,4,4,1,3,5,0,146,10.0
147,GP,F,15,U,GT3,T,4,4,course,mother,2,1,0,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,6,147,13.67
148,GP,F,15,R,GT3,T,1,1,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,5,5,5,1,1,1,2,148,8.67
149,GP,M,15,U,GT3,T,4,3,course,father,2,4,0,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,6,149,10.33
150,GP,F,15,U,GT3,A,3,3,home,mother,1,2,0,no,no,no,no,yes,no,yes,1,3,2,2,3,1,24,150,8.67
151,GP,M,16,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,5,0,151,13.67
152,GP,M,16,U,LE3,T,2,2,reputation,father,2,1,0,no,yes,no,yes,yes,yes,no,2,3,3,2,2,2,4,152,11.33
153,GP,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,no,4,2,2,1,1,5,2,153,13.0
154,GP,F,16,U,LE3,T,1,1,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,4,4,3,3,1,4,154,10.67
155,GP,M,17,U,GT3,T,2,1,home,mother,1,1,0,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,22,155,7.33
156,GP,F,15,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,yes,yes,no,4,4,2,1,2,5,0,156,12.0
157,GP,F,15,U,LE3,A,2,1,home,mother,2,1,0,no,yes,no,yes,no,yes,yes,4,4,2,1,1,5,0,157,10.33
158,GP,F,15,U,GT3,T,3,2,home,father,1,2,1,no,yes,no,no,yes,yes,no,3,3,2,1,1,3,2,158,11.0
159,GP,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,2,1,1,5,6,159,12.67
160,GP,F,15,U,GT3,T,1,2,course,father,1,2,0,no,no,no,no,yes,no,yes,2,3,4,2,4,1,6,160,11.0
